1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,
2,Alabama,AL,1,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,REP,56937,75.25%,,,129063,82.58%,,,,
3,Alabama,AL,1,H0AL01030,,Peter,Gounares,"Gounares, Peter",,REP,18725,24.75%,,,,,,,,
5,Alabama,AL,1,H0AL01048,,David,Walter,"Walter, David",,CPA,,,,,26357,16.87%,,,,
6,Alabama,AL,1,n/a,,,Scattered,Scattered,,W,,,,,861,0.55%,,,,
9,Alabama,AL,2,H0AL02087,,Martha,Roby,"Roby, Martha",,REP,36295,48.55%,39169,60.02%,111645,50.97%,,,,
10,Alabama,AL,2,H0AL02103,,Rick,Barber,"Barber, Rick",,REP,21313,28.51%,26091,39.98%,,,,,,
11,Alabama,AL,2,H0AL02111,,Stephanie,Bell,"Bell, Stephanie",,REP,13797,18.46%,,,,,,,,
12,Alabama,AL,2,H0AL02129,,"John Beau, III",McKinney,"McKinney, John Beau, III",,REP,3349,4.48%,,,,,,,,
14,Alabama,AL,2,H8AL02130,(I),Bobby,Bright,"Bright, Bobby",,DEM,Unopposed,,,,106865,48.79%,,,,
15,Alabama,AL,2,n/a,,,Scattered,Scattered,,W,,,,,518,0.24%,,,,
18,Alabama,AL,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,REP,Unopposed,,,,117736,59.42%,,,,
19,Alabama,AL,3,H0AL03184,,Steve,Segrest,"Segrest, Steve",,DEM,Unopposed,,,,80204,40.48%,,,,
20,Alabama,AL,3,n/a,,,Scattered,Scattered,,W,,,,,199,0.10%,,,,
23,Alabama,AL,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,REP,Unopposed,,,,167714,98.82%,,,,
24,Alabama,AL,4,n/a,,,Scattered,Scattered,,W,,,,,2007,1.18%,,,,
27,Alabama,AL,5,H0AL05163,,Mo,Brooks,"Brooks, Mo",,REP,35746,50.81%,,,131109,57.89%,,,,
28,Alabama,AL,5,H8AL05109,(I),Parker,Griffith,"Griffith, Parker",,REP,23525,33.44%,,,,,,,,
29,Alabama,AL,5,H0AL05155,,Les,Phillip,"Phillip, Les",,REP,11085,15.76%,,,,,,,,
31,Alabama,AL,5,H0AL05197,,Steve,Raby,"Raby, Steve",,DEM,27814,61.67%,,,95192,42.03%,,,,
32,Alabama,AL,5,H0AL05189,,Taze,Shepard,"Shepard, Taze",,DEM,10262,22.75%,,,,,,,,
33,Alabama,AL,5,H0AL05171,,Mitchell J.,Howie,"Howie, Mitchell J.",,DEM,5277,11.70%,,,,,,,,
34,Alabama,AL,5,H8AL05117,,David J.,Maker,"Maker, David J.",,DEM,1751,3.88%,,,,,,,,
36,Alabama,AL,5,n/a,,,Scattered,Scattered,,W,,,,,189,0.08%,,,,
39,Alabama,AL,6,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,REP,80725,75.64%,,,205288,98.05%,,,,
40,Alabama,AL,6,H0AL06088,,Stan,Cooke,"Cooke, Stan",,REP,25997,24.36%,,,,,,,,
42,Alabama,AL,6,n/a,,,Scattered,Scattered,,W,,,,,4076,1.95%,,,,
45,Alabama,AL,7,H0AL07086,,Terri A.,Sewell,"Sewell, Terri A.",,DEM,31531,36.80%,32366,55.00%,136696,72.43%,,,,
46,Alabama,AL,7,H0AL07102,,Shelia,Smoot,"Smoot, Shelia",,DEM,24490,28.59%,26481,45.00%,,,,,,
47,Alabama,AL,7,H0AL07094,,"Earl, Jr.",Hilliard,"Hilliard, Earl, Jr.",,DEM,22981,26.82%,,,,,,,,
48,Alabama,AL,7,H0AL00016,,Martha,Bozeman,"Bozeman, Martha",,DEM,6672,7.79%,,,,,,,,
50,Alabama,AL,7,H0AL07177,,Don,Chamberlain,"Chamberlain, Don",,REP,6166,37.58%,11783,55.76%,51890,27.50%,,,,
51,Alabama,AL,7,H0AL07185,,Chris,Salter,"Salter, Chris",,REP,4826,29.42%,9349,44.24%,,,,,,
52,Alabama,AL,7,H0AL07144,,Michele,Waller,"Waller, Michele",,REP,2804,17.09%,,,,,,,,
53,Alabama,AL,7,H0AL07169,,Carol F.,Hendrickson,"Hendrickson, Carol F.",,REP,2610,15.91%,,,,,,,,
55,Alabama,AL,7,n/a,,,Scattered,Scattered,,W,,,,,138,0.07%,,,,
70,Alaska,AK,0,H6AK00045,(I),Don,Young,"Young, Don",,REP,74310,70.35%,,,175384,68.96%,,,,
71,Alaska,AK,0,H0AK01038,,Sheldon,Fisher,"Fisher, Sheldon",,REP,24709,23.39%,,,,,,,,
72,Alaska,AK,0,H0AK00097,,John R. ,Cox,"Cox, John R. ",,REP,6605,6.25%,,,,,,,,
74,Alaska,AK,0,H0AK00089,,"Harry T., Jr.",Crawford,"Crawford, Harry T., Jr.",,DEM,38673,100.00%,,,77606,30.51%,,,,
76,Alaska,AK,0,n/a,,,Scattered,Scattered,,W,,,,,1345,0.53%,,,,
126,American Samoa,AS,0,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,DEM,,,,,6182,56.41%,,,,
127,American Samoa,AS,0,H4AS00036,,Aumua,Amata,"Amata, Aumua",,REP,,,,,4422,40.35%,,,,
128,American Samoa,AS,0,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",,NNE,,,,,356,3.25%,,,,
132,Arizona,AZ,1,H0AZ01259,,Paul,Gosar,"Gosar, Paul",,REP,21941,30.73%,,,112816,49.72%,,,,
133,Arizona,AZ,1,H2AZ01149,,Sydney,Hay,"Hay, Sydney",,REP,16328,22.87%,,,,,,,,
134,Arizona,AZ,1,H0AZ01267,,Bradley,Beauchamp,"Beauchamp, Bradley",,REP,11356,15.91%,,,,,,,,
135,Arizona,AZ,1,H0AZ01275,,"Russell ""Rusty""",Bowers,"Bowers, Russell ""Rusty""",,REP,10552,14.78%,,,,,,,,
136,Arizona,AZ,1,H0AZ01283,,Steve,Mehta,"Mehta, Steve",,REP,5846,8.19%,,,,,,,,
137,Arizona,AZ,1,H0AZ01309,,Thomas J.,Zaleski,"Zaleski, Thomas J.",,REP,2105,2.95%,,,,,,,,
138,Arizona,AZ,1,H0AZ01317,,Jon,Jensen,"Jensen, Jon",,REP,1736,2.43%,,,,,,,,
139,Arizona,AZ,1,H0AZ01291,,Joe,Jaraczewski,"Jaraczewski, Joe",,REP,1530,2.14%,,,,,,,,
141,Arizona,AZ,1,H8AZ01104,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,DEM,46902,100.00%,,,99233,43.73%,,,,
143,Arizona,AZ,1,H0AZ01341,,Nicole,Patti,"Patti, Nicole",,W(LIB)/LIB,23,100.00%,,,14869,6.55%,,,,
147,Arizona,AZ,2,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,REP,81252,80.87%,,,173173,64.88%,,,,
148,Arizona,AZ,2,H0AZ02141,,Charles,Black,"Black, Charles",,REP,19220,19.13%,,,,,,,,
150,Arizona,AZ,2,H6AZ02155,,John,Thrasher,"Thrasher, John",,DEM,32503,100.00%,,,82891,31.06%,,,,
152,Arizona,AZ,2,H4AZ02119,,Powell,Gammill,"Gammill, Powell",,LIB,318,100.00%,,,10820,4.05%,,,,
154,Arizona,AZ,2,H6AZ00027,,Crum ,William,"William, Crum ",,W,,,,,8,0.00%,,,,
155,Arizona,AZ,2,n/a,,Mark,Rankin,"Rankin, Mark",,W,,,,,2,0.00%,,,,
158,Arizona,AZ,3,H0AZ03362,,Ben,Quayle,"Quayle, Ben",,REP,17400,22.05%,,,108689,52.24%,,,,
159,Arizona,AZ,3,H0AZ03396,,Steve,Moak,"Moak, Steve",,REP,14211,18.01%,,,,,,,,
160,Arizona,AZ,3,H0AZ03313,,Jim,Waring,"Waring, Jim",,REP,13850,17.55%,,,,,,,,
161,Arizona,AZ,3,H0AZ03321,,Vernon B.,Parker,"Parker, Vernon B.",,REP,13411,17.00%,,,,,,,,
162,Arizona,AZ,3,H0AZ03339,,Pamela,Gorman,"Gorman, Pamela",,REP,6473,8.20%,,,,,,,,
163,Arizona,AZ,3,H0AZ03354,,Paulina,Morris,"Morris, Paulina",,REP,6138,7.78%,,,,,,,,
164,Arizona,AZ,3,H0AZ03347,,Sam,Crump,"Crump, Sam",,REP,3886,4.92%,,,,,,,,
165,Arizona,AZ,3,H8AZ03126,,Ed,Winkler,"Winkler, Ed",,REP,1353,1.71%,,,,,,,,
166,Arizona,AZ,3,H0AZ03388,,Bob,Branch,"Branch, Bob",,REP,1141,1.45%,,,,,,,,
167,Arizona,AZ,3,H0AZ03370,,Leann,Hull,"Hull, Leann",,REP,1044,1.32%,,,,,,,,
169,Arizona,AZ,3,H0AZ03305,,Jon,Hulburd,"Hulburd, Jon",,DEM,27388,100.00%,,,85610,41.14%,,,,
171,Arizona,AZ,3,H8AZ03134,,Michael,Shoen,"Shoen, Michael",,LIB,392,99.75%,,,10478,5.04%,,,,
172,Arizona,AZ,3,H0AZ03446 ,,Clay,Adair,"Adair, Clay",,W(LIB),1,0.25%,,,,,,,,
174,Arizona,AZ,3,H0AZ03438,,Leonard ,Clark,"Clark, Leonard ",,W(GRE)/GRE,5,100.00%,,,3294,1.58%,,,,
178,Arizona,AZ,4,H2AZ02055,(I),Ed,Pastor,"Pastor, Ed",,DEM,24613,100.00%,,,61524,66.94%,,,,
180,Arizona,AZ,4,H0AZ04493,,Janet,Contreras,"Contreras, Janet",,REP,8085,60.10%,,,25300,27.53%,,,,
181,Arizona,AZ,4,H0AZ04501,,Joe,Penalosa,"Penalosa, Joe",,REP,5368,39.90%,,,,,,,,
183,Arizona,AZ,4,H8AZ04124,,Joe,Cobb,"Cobb, Joe",,LIB,219,100.00%,,,2718,2.96%,,,,
185,Arizona,AZ,4,H8AZ04116,,Rebecca,Dewitt,"Dewitt, Rebecca",,GRE,148,100.00%,,,2365,2.57%,,,,
189,Arizona,AZ,5,H4AZ06045,,David,Schweikert,"Schweikert, David",,REP,26678,37.23%,,,110374,52.00%,,,,
190,Arizona,AZ,5,H0AZ05078,,Jim,Ward,"Ward, Jim",,REP,18480,25.79%,,,,,,,,
191,Arizona,AZ,5,H4AZ01061,,Susan,Bitter Smith,"Bitter Smith, Susan",,REP,17297,24.14%,,,,,,,,
192,Arizona,AZ,5,H0AZ05102,,Chris,Salvino,"Salvino, Chris",,REP,7156,9.99%,,,,,,,,
193,Arizona,AZ,5,H8AZ05121,,Lee,Gentry,"Gentry, Lee",,REP,1157,1.61%,,,,,,,,
194,Arizona,AZ,5,H0AZ05110,,Mark,Spinks,"Spinks, Mark",,REP,884,1.23%,,,,,,,,
196,Arizona,AZ,5,H6AZ05067,(I),Harry,Mitchell,"Mitchell, Harry",,DEM,29716,100.00%,,,91749,43.23%,,,,
198,Arizona,AZ,5,H0AZ05136,,Nick,Coons,"Coons, Nick",,LIB,306,100.00%,,,10127,4.77%,,,,
200,Arizona,AZ,5,H0AZ05144 ,,Ryan ,Blackman,"Blackman, Ryan ",,W(GRE),4,100.00%,,,,,,,,
204,Arizona,AZ,6,H0AZ01184,(I),Jeff,Flake,"Flake, Jeff",,REP,62285,64.60%,,,165649,66.42%,,,,
205,Arizona,AZ,6,H0AZ05094,,Jeff,Smith,"Smith, Jeff",,REP,34137,35.40%,,,,,,,,
207,Arizona,AZ,6,H8AZ06053,,Rebecca,Schneider,"Schneider, Rebecca",,DEM,26220,100.00%,,,72615,29.12%,,,,
209,Arizona,AZ,6,H0AZ06050,,Darell,Tapp,"Tapp, Darell",,W(LIB)/LIB,28,100.00%,,,7712,3.09%,,,,
211,Arizona,AZ,6,H8AZ06012,,Richard,Grayson,"Grayson, Richard",,W(GRE)/GRE,6,100.00%,,,3407,1.37%,,,,
215,Arizona,AZ,7,H2AZ07070,(I),Raúl M.,Grijalva,"Grijalva, Raúl M.",,DEM,33931,100.00%,,,79935,50.23%,,,,
217,Arizona,AZ,7,H0AZ07017,,Ruth,McClung,"McClung, Ruth",,REP,15455,50.95%,,,70385,44.23%,,,,
218,Arizona,AZ,7,H0AZ07025,,Terry,Myers,"Myers, Terry",,REP,7044,23.22%,,,,,,,,
219,Arizona,AZ,7,H0AZ07041,,Joseph,Sweeney,"Sweeney, Joseph",,REP,3702,12.20%,,,,,,,,
220,Arizona,AZ,7,H0AZ07058,,Robert,Wilson,"Wilson, Robert",,REP,2737,9.02%,,,,,,,,
